Country,Year,Female Enrollment (%),Female Graduation Rate (%),STEM Fields,Gender Gap Index
China,2018,20.4,43.2,Engineering,0.52
China,2005,35.6,29.3,Mathematics,0.98
China,2005,53.7,32.4,Biology,0.6
Germany,2007,65.0,63.6,Mathematics,0.69
Canada,2010,54.4,28.8,Engineering,0.74
India,2001,53.0,54.5,Computer Science,0.54
Canada,2002,69.0,23.2,Engineering,0.86
India,2000,29.5,38.1,Engineering,0.9
USA,2014,57.1,35.7,Biology,0.61
China,2020,36.7,64.3,Computer Science,0.96
Australia,2004,39.9,41.9,Mathematics,0.69
USA,2023,32.4,11.0,Computer Science,0.52
Australia,2000,68.0,31.3,Engineering,0.51
USA,2001,63.2,50.5,Mathematics,0.57
China,2005,29.1,50.5,Biology,0.63
India,2001,48.7,21.2,Mathematics,0.51
China,2005,60.1,54.8,Engineering,0.83
China,2020,63.6,62.4,Engineering,0.81
Germany,2012,40.0,56.3,Computer Science,0.66
USA,2007,55.7,30.1,Biology,0.82
Germany,2016,39.3,64.9,Engineering,0.62
Australia,2001,32.5,51.6,Mathematics,0.92
USA,2014,41.8,50.0,Engineering,0.85
USA,2021,32.5,55.9,Biology,0.63
China,2023,53.7,43.6,Engineering,0.6
China,2016,27.8,43.6,Biology,0.72
Canada,2013,69.1,32.9,Engineering,0.54
China,2014,56.0,56.2,Engineering,0.93
India,2015,21.6,23.2,Mathematics,0.99
Australia,2001,24.5,43.8,Mathematics,0.58
China,2010,60.7,11.5,Mathematics,0.74
China,2005,46.2,47.9,Computer Science,0.95
Germany,2019,41.0,17.0,Engineering,0.7
India,2000,42.4,40.4,Mathematics,0.66
India,2016,45.3,40.6,Engineering,0.69
Canada,2005,47.6,64.0,Mathematics,0.78
India,2003,34.6,15.1,Mathematics,0.84
Australia,2002,43.4,58.8,Mathematics,0.63
Australia,2021,29.0,54.3,Computer Science,0.85
Germany,2023,36.4,24.5,Computer Science,0.82
Australia,2007,33.5,24.5,Computer Science,0.53
USA,2018,38.4,33.3,Biology,0.63
USA,2010,45.5,40.2,Biology,0.63
China,2005,36.1,38.7,Computer Science,0.71
Australia,2006,64.6,59.7,Engineering,0.76
Canada,2009,37.9,51.9,Engineering,0.6
China,2015,42.9,64.8,Biology,0.8
Germany,2023,20.9,63.9,Computer Science,0.92
Australia,2015,46.4,27.4,Mathematics,0.8
Germany,2022,38.8,17.1,Mathematics,0.63
Australia,2018,62.3,51.5,Computer Science,0.7
India,2013,42.3,11.5,Biology,0.87
China,2015,20.8,23.9,Engineering,0.9
USA,2023,38.0,39.4,Biology,0.75
China,2005,37.6,47.4,Biology,0.72
India,2023,60.8,50.1,Biology,0.77
China,2013,65.8,26.9,Computer Science,0.71
Canada,2016,23.4,21.6,Engineering,0.99
Australia,2010,60.9,53.2,Engineering,0.75
China,2011,31.3,53.6,Engineering,0.71
China,2023,33.4,45.7,Mathematics,0.61
China,2006,42.4,10.8,Engineering,0.66
Canada,2023,33.2,18.0,Engineering,0.6
India,2015,56.9,63.8,Engineering,0.69
Australia,2008,54.9,27.8,Mathematics,0.64
USA,2007,35.2,19.8,Biology,0.96
Germany,2023,37.3,49.3,Computer Science,0.83
Australia,2008,27.2,61.5,Mathematics,0.57
Germany,2010,29.5,10.9,Biology,0.98
USA,2002,37.5,17.7,Engineering,0.63
Canada,2023,21.0,62.7,Biology,0.98
Canada,2009,23.2,59.0,Biology,0.77
Germany,2016,60.5,48.9,Engineering,0.63
Australia,2012,31.5,16.2,Mathematics,0.56
Canada,2008,63.7,33.9,Mathematics,0.57
USA,2007,52.0,28.1,Biology,0.52
China,2017,55.3,19.2,Engineering,0.57
Australia,2014,33.3,36.6,Mathematics,0.73
India,2022,69.5,31.6,Engineering,0.74
Germany,2020,31.9,44.5,Biology,0.58
Germany,2022,22.9,44.9,Engineering,0.72
Germany,2015,20.6,61.9,Engineering,0.92
India,2001,37.7,23.4,Computer Science,0.62
USA,2003,30.9,48.1,Mathematics,0.63
India,2004,23.3,56.6,Engineering,0.73
USA,2022,62.9,45.7,Biology,0.67
Australia,2006,24.3,30.2,Mathematics,0.92
India,2022,35.6,19.6,Engineering,0.65
USA,2023,52.5,22.7,Biology,0.65
Australia,2012,50.3,16.6,Computer Science,0.93
Germany,2006,61.9,45.1,Mathematics,0.82
Australia,2015,63.6,63.8,Mathematics,0.74
Australia,2003,25.7,36.9,Computer Science,0.54
Germany,2007,41.1,51.3,Computer Science,0.85
Canada,2000,58.1,16.2,Biology,0.97
India,2004,51.5,28.1,Mathematics,0.8
Australia,2021,37.7,16.3,Biology,1.0
China,2007,28.0,17.6,Mathematics,0.88
USA,2016,38.7,12.6,Engineering,0.95
Australia,2000,55.0,43.1,Mathematics,0.98
Germany,2018,56.6,25.0,Engineering,0.59
Canada,2010,43.3,29.0,Computer Science,0.96
Australia,2000,68.2,62.5,Biology,0.99
Canada,2002,48.4,18.2,Engineering,0.59
Australia,2014,59.2,49.1,Biology,0.98
Canada,2010,69.4,28.2,Mathematics,0.89
India,2003,49.6,22.0,Computer Science,0.51
China,2014,20.4,27.9,Engineering,0.85
Canada,2012,23.6,38.7,Engineering,0.62
India,2005,25.9,21.2,Mathematics,0.91
India,2003,36.8,42.9,Computer Science,0.52
China,2016,37.4,27.5,Mathematics,0.66
Canada,2007,46.1,40.2,Computer Science,0.76
China,2007,22.8,58.3,Engineering,0.95
Canada,2020,57.0,45.5,Computer Science,0.63
USA,2009,27.5,19.8,Biology,0.67
USA,2017,58.9,51.1,Mathematics,0.93
China,2000,59.9,45.6,Mathematics,0.85
Australia,2001,40.0,11.6,Engineering,0.94
India,2016,24.9,47.2,Biology,0.6
Canada,2008,34.6,41.1,Computer Science,0.84
Germany,2009,27.7,12.0,Mathematics,0.68
Canada,2001,60.7,37.7,Engineering,0.69
Canada,2005,44.5,56.9,Engineering,0.94
Germany,2011,54.2,26.7,Mathematics,0.99
Australia,2015,51.5,16.4,Engineering,0.68
USA,2010,68.2,22.3,Engineering,0.59
USA,2017,29.7,11.4,Engineering,0.91
Germany,2014,56.5,11.5,Biology,0.92
Canada,2016,24.5,63.5,Mathematics,0.67
Australia,2007,61.6,54.1,Mathematics,0.85
USA,2013,68.4,32.8,Mathematics,0.75
Australia,2012,56.8,42.6,Biology,0.52
China,2000,48.1,57.3,Computer Science,0.79
India,2000,27.7,34.5,Biology,0.52
India,2002,21.2,50.2,Biology,0.63
India,2004,22.1,48.7,Mathematics,0.73
USA,2002,57.2,13.8,Biology,0.78
USA,2022,22.1,61.1,Engineering,0.62
Germany,2021,39.8,29.5,Mathematics,0.69
China,2007,40.6,46.1,Engineering,0.58
Canada,2015,57.7,44.7,Computer Science,0.86
Australia,2017,47.4,12.3,Mathematics,0.5
Canada,2009,45.5,32.5,Mathematics,0.66
USA,2004,47.5,64.1,Computer Science,0.73
Germany,2000,46.0,19.4,Biology,0.8
China,2001,37.6,29.3,Computer Science,0.55
China,2005,53.1,30.8,Computer Science,0.81
Australia,2016,50.3,25.9,Biology,0.67
Canada,2018,53.2,48.1,Computer Science,0.64
China,2018,50.0,19.7,Mathematics,0.75
Canada,2022,53.7,13.1,Biology,0.79
USA,2003,64.1,34.0,Biology,0.61
Germany,2008,23.8,12.8,Mathematics,0.88
India,2014,36.3,22.4,Computer Science,0.85
Germany,2001,26.6,14.1,Engineering,0.93
USA,2011,46.0,49.5,Mathematics,0.99
Canada,2001,34.4,11.4,Engineering,0.66
Germany,2000,58.9,49.7,Mathematics,0.81
Germany,2016,32.2,37.2,Mathematics,0.94
Canada,2009,23.7,41.5,Computer Science,0.86
USA,2020,67.2,31.1,Computer Science,0.84
Canada,2008,35.1,56.5,Computer Science,0.78
Canada,2018,62.4,26.4,Biology,0.83
Australia,2005,60.7,45.8,Mathematics,0.6
Australia,2010,25.5,39.3,Engineering,0.67
Canada,2003,27.8,27.0,Mathematics,0.7
Germany,2007,57.1,20.5,Engineering,0.59
India,2018,21.0,62.3,Biology,0.89
India,2010,46.1,12.8,Engineering,0.56
China,2015,54.4,22.2,Engineering,0.79
Germany,2020,43.2,11.5,Biology,0.81
India,2005,61.6,12.1,Computer Science,0.9
India,2007,57.9,48.8,Engineering,0.59
India,2018,65.1,19.5,Computer Science,0.92
Australia,2019,55.4,61.9,Engineering,0.87
India,2019,43.5,57.3,Mathematics,0.73
Germany,2014,25.3,29.6,Biology,0.5
China,2004,32.7,32.2,Engineering,0.83
Canada,2006,27.7,59.0,Engineering,0.78
USA,2004,60.3,38.7,Mathematics,0.59
